target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=173.222.210.10,21934,7.177415,7.078615,7.122665,7.10512,30.43976,,,,,
targetIP=193.229.113.57,21284,6.75429,6.716835,6.644375,6.63581,6.63833,,,,,
targetIP=2.22.144.114,21937,12.948075,12.81876,13.748025,13.060445,13.03151,,,,,
targetIP=23.43.165.34,10390,44.21209,43.131845,44.230455,46.767655,43.47797,,,,,
targetIP=23.55.37.192,10394,45.753015,26.6502,24.770505,33.67308,50.855535,,,,,
targetIP=165.254.204.163,31168,130.21866,129.14521,128.722095,129.845605,129.592205,,,,,
targetIP=88.221.134.35,16933,58.716495,58.57808,58.47699,58.447505,58.585405,,,,,
targetIP=88.221.89.65,16930,6.63895,6.46324,6.968785,6.391515,7.433605,,,,,
targetIP=173.223.106.24,34428,16.962435,16.51598,13.246495,15.093745,12.377595,,,,,
targetIP=157.131.218.43,12226,26.181385,26.508475,25.462045,26.22257,26.94909,,,,,
targetIP=164.113.67.75,6216,0.249773,0.221502,0.192077,0.252138,0.210502,,,,,
targetIP=184.50.26.56,6215,0.983974,0.89903,0.960438,0.919096,0.961154,,,,,
targetIP=2.18.65.98,6214,2.62618,2.541765,2.44381,2.610535,2.44509,,,,,
targetIP=2.22.144.122,6213,0.504447,0.448359,0.448614,0.410057,0.48812,,,,,
targetIP=23.59.154.49,6212,31.350076,31.294318,31.235455,31.238662,31.315784,,,,,
targetIP=2.18.65.75,6211,42.031479,41.761622,41.769388,41.809248,41.96104,,,,,
targetIP=95.100.96.232,6210,10.954388,11.011572,10.974569,10.935812,10.955498,,,,,
targetIP=88.221.134.57,6219,29.521218,29.515083,29.501853,29.424096,29.42799,,,,,
targetIP=23.62.157.118,6218,74.886834,75.018583,74.818226,75.190937,74.977461,,,,,
targetIP=72.247.182.35,15708,51.13253,44.08714,49.763375,40.59017,44.98962,,,,,
targetIP=80.239.247.45,13542,31.396605,31.271315,31.247475,31.283755,31.31484,,,,,
targetIP=221.110.130.113,15701,25.13329,25.57977,25.065595,24.970585,25.092515,,,,,
targetIP=203.184.9.19,19974,1.08547,0.83457,0.819505,0.850395,0.84797,,,,,
targetIP=49.231.57.27,29370,25.07971,24.36146,24.193735,24.149525,24.257645,,,,,
