target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=80.228.45.17,27394,5.49703,4.88771,5.03518,5.229905,5.560985,,,,,
targetIP=37.110.193.139,22998,19.02265,18.75068,18.81194,18.728185,18.69408,,,,,
targetIP=2.17.201.16,19328,1.79944,1.76122,1.746845,1.758175,1.74735,,,,,
targetIP=62.183.170.16,258,35.326471,19.825924,20.5993,35.41172,30.909702,,,,,
targetIP=2.23.173.24,32609,35.50937,35.326655,35.25948,35.17913,35.17761,,,,,
targetIP=190.129.123.144,32071,15.34729,15.207525,14.61601,19.17063,15.379545,,,,,
targetIP=95.101.182.122,32070,10.509045,10.44135,10.4198,10.3741,10.399615,,,,,
targetIP=95.101.1.82,16233,4.743705,4.68025,4.71638,4.619725,4.79836,,,,,
targetIP=2.21.74.11,16720,4.915695,4.66242,4.67155,4.637005,4.62877,,,,,
targetIP=104.96.0.153,32075,15.52923,16.450215,14.43817,13.147035,16.141595,,,,,
targetIP=201.21.214.160,16234,9.521495,9.86672,8.65355,9.85368,9.33784,,,,,
