target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=88.221.254.202,30621,17.721665,15.16979,14.672665,13.862265,13.468795,,,,,
targetIP=2.17.120.162,30626,39.637095,136.461035,158.86192,75.00051,110.84754,,,,,
targetIP=2.20.242.18,30625,47.918055,47.119155,47.349355,47.342215,46.963295,,,,,
targetIP=213.197.182.202,33025,0.82968,0.686075,0.708155,0.734635,0.908245,,,,,
targetIP=23.192.163.80,209,8.376578,7.393538,7.603202,8.254466,7.908866,,,,,
targetIP=217.212.252.97,11845,13.833885,13.684855,13.605865,13.63089,13.61108,,,,,
targetIP=210.7.43.139,11843,4.52393,4.172115,3.854665,3.865235,3.8736,,,,,
targetIP=23.215.102.171,11842,5.225615,5.024945,4.98209,4.99817,4.985695,,,,,
targetIP=2.16.117.72,11841,22.04386,21.960495,21.8297,23.08203,21.822095,,,,,
targetIP=42.127.234.25,33022,9.446145,13.01296,13.0652,11.597635,16.06829,,,,,
targetIP=77.120.60.161,12017,12.613525,8.873585,9.486885,10.242785,9.396665,,,,,
targetIP=77.222.148.113,29596,4.048965,0.79883,0.776675,0.773235,0.767645,,,,,
targetIP=2.17.201.8,33937,1.561505,1.253025,1.14253,1.24571,1.23897,,,,,
targetIP=67.135.105.153,29594,41.37584,45.226535,41.265495,46.33583,41.133365,,,,,
targetIP=173.223.106.11,29590,35.99815,36.054335,37.114805,36.385375,36.16885,,,,,
targetIP=2.16.186.48,33935,7.39055,6.950205,6.99107,6.791305,7.01178,,,,,
targetIP=88.221.117.40,16505,8.59669,7.76345,7.66893,7.720705,7.84171,,,,,
targetIP=88.221.117.40,14344,11.888965,13.97611,19.169265,14.1652,12.558035,,,,,
targetIP=89.27.241.18,24554,14.251575,14.325655,14.023915,13.839155,14.17731,,,,,
targetIP=104.96.0.91,14343,1.073935,0.695135,0.641455,0.614185,0.59907,,,,,
targetIP=78.11.252.73,34913,1.38097,1.29512,1.197695,1.17181,1.27228,,,,,
targetIP=92.122.218.19,33240,8.980105,8.403375,9.424125,8.917995,8.65642,,,,,
targetIP=173.223.106.8,11119,24.92808,24.828625,24.891805,24.858455,24.776885,,,,,
targetIP=2.16.117.72,11118,27.01968,25.58901,25.497435,25.6788,25.95229,,,,,
targetIP=195.249.50.57,690,12.487682,11.655938,13.965315,13.781763,13.096706,,,,,
targetIP=195.215.247.133,691,17.116419,20.891141,10.27661,11.108355,9.113859,,,,,
targetIP=195.12.179.48,697,6.964226,3.892225,9.176066,3.845377,10.283522,,,,,
targetIP=104.116.243.160,28359,138.290145,138.288605,138.25929,138.33389,138.22617,,,,,
targetIP=193.170.140.78,11110,0.5738,0.48606,0.481855,0.58407,0.48371,,,,,
targetIP=203.184.9.25,14473,26.64133,26.38802,28.432185,24.110915,23.73236,,,,,
targetIP=212.30.134.199,699,23.325701,23.179781,23.129861,23.179013,25.473797,,,,,
targetIP=209.121.139.179,28421,159.139685,159.103065,159.01545,159.13696,159.035395,,,,,
targetIP=104.116.243.160,28352,36.031785,35.98893,35.995135,36.076335,35.96418,,,,,
targetIP=217.212.252.193,28423,19.162745,19.050315,19.070675,19.01844,19.041275,,,,,
targetIP=188.43.75.33,11116,9.619235,6.8167,8.640965,9.299895,10.107265,,,,,
targetIP=173.223.11.32,30335,5.72562,5.251175,5.281235,5.09037,5.07751,,,,,
targetIP=196.46.1.137,19574,1.10747,0.72026,0.79456,0.711615,0.66837,,,,,
targetIP=88.221.117.18,30330,15.60959,15.34117,15.34919,15.26027,15.295675,,,,,
targetIP=65.158.47.105,34304,25.900375,25.36561,25.342265,25.40367,25.566235,,,,,
targetIP=104.116.243.168,34307,246.982355,246.751815,247.070725,246.94413,246.86358,,,,,
targetIP=62.4.254.158,34306,10.570495,10.592775,10.352125,10.53707,10.263035,,,,,
targetIP=23.32.3.27,34308,233.658545,230.171345,226.106695,234.26443,233.7139,,,,,
targetIP=203.184.9.25,30338,3.15899,3.090365,3.01376,3.01863,3.05909,,,,,
targetIP=88.221.113.163,31575,25.93173,26.530475,26.97954,26.36403,27.225065,,,,,
targetIP=2.22.127.81,13843,13.772745,13.576995,13.684895,13.44109,13.763385,,,,,
targetIP=193.51.224.41,13842,1.74124,1.18666,1.15627,1.207345,1.169635,,,,,
targetIP=203.5.76.34,19103,1.111795,0.854085,0.8919,0.805565,0.849415,,,,,
targetIP=176.126.57.163,32864,2.085055,1.70293,1.670595,1.660965,1.788385,,,,,
targetIP=202.69.184.8,19193,5.487155,3.36838,3.606045,11.33094,3.63822,,,,,
targetIP=217.212.252.195,35218,32.335695,31.328665,32.36283,31.336595,31.307875,,,,,
targetIP=188.43.74.152,35219,2.131445,1.99763,2.171075,2.15901,2.19512,,,,,
targetIP=104.116.243.168,35214,317.893195,317.38081,317.26716,317.2723,317.95523,,,,,
targetIP=23.15.4.10,17925,23.123035,23.60648,22.69044,24.8482,24.688725,,,,,
targetIP=213.136.45.17,23264,5.171795,4.9697,4.983455,4.98094,4.97557,,,,,
targetIP=2.21.240.195,23262,9.58307,9.51451,9.519575,9.50337,9.5526,,,,,
targetIP=212.126.99.8,11560,1.133335,0.846105,0.917405,0.89978,0.835035,,,,,
targetIP=84.234.155.187,11561,10.42778,10.338405,10.32896,10.340935,10.34458,,,,,
targetIP=91.135.34.25,11562,4.17358,1.463805,1.256035,1.197655,1.677695,,,,,
targetIP=88.221.117.40,11563,21.81878,21.553715,21.407585,21.437365,21.41932,,,,,
targetIP=173.222.108.67,22247,15.881145,13.097685,15.11432,13.368165,12.001275,,,,,
targetIP=49.231.57.41,22242,16.62577,16.607645,16.72008,16.97161,17.03332,,,,,
targetIP=213.57.24.195,25049,7.96923,7.62478,7.478505,7.529155,7.988015,,,,,
targetIP=104.79.2.161,25738,8.507885,8.02561,8.199545,8.196765,7.932755,,,,,
targetIP=65.153.18.98,25737,3.288675,3.049685,2.810375,2.74577,2.644065,,,,,
